日期,最高温,最低温,降雨量
2024-04-02,16.3,8.8,0.0
2024-04-03,20.5,13.2,0.0
2024-04-04,23.9,13.4,0.0
2024-04-05,18.6,10.0,0.0
2024-04-06,16.5,4.9,0.0
2024-04-07,17.0,7.9,0.0
2024-04-08,18.0,11.0,0.0
2024-04-09,19.1,7.5,0.0
2024-04-10,21.2,12.7,0.0
2024-04-11,21.5,11.2,0.0
2024-04-12,23.5,15.6,0.0
2024-04-13,23.0,14.6,0.1
2024-04-14,17.0,7.2,0.0
2024-04-15,25.4,17.5,2.5
2024-04-16,20.1,9.7,0.0
2024-04-17,17.5,8.1,2.9
2024-04-18,23.8,16.2,7.2
2024-04-19,22.4,13.9,0.0
2024-04-20,21.2,10.9,2.4
2024-04-21,21.7,14.2,0.0
2024-04-22,26.2,18.9,0.8
2024-04-23,23.6,16.1,0.0
2024-04-24,23.3,16.9,0.0
2024-04-25,24.7,13.6,0.0
2024-04-26,20.3,10.7,0.0
2024-04-27,24.7,17.8,0.0
2024-04-28,23.9,15.0,0.0
2024-04-29,27.3,15.7,0.0
2024-04-30,25.4,13.5,0.0
2024-05-01,30.9,20.8,0.0
2024-05-02,27.2,21.2,0.0
2024-05-03,26.2,15.9,0.0
2024-05-04,24.0,15.9,0.0
2024-05-05,22.7,14.8,0.0
2024-05-06,23.4,13.9,0.0
2024-05-07,31.8,20.8,0.0
2024-05-08,28.3,21.1,9.7
2024-05-09,25.7,17.3,0.0
2024-05-10,30.9,20.3,0.0
2024-05-11,21.0,11.9,17.2
2024-05-12,24.7,16.8,0.0
2024-05-13,27.0,20.2,0.0
2024-05-14,19.9,12.9,0.0
2024-05-15,32.8,23.8,1.7
2024-05-16,32.5,20.6,0.0
2024-05-17,26.8,20.2,0.0
2024-05-18,28.6,18.6,0.6
2024-05-19,28.1,18.0,12.9
2024-05-20,32.7,25.5,0.0
2024-05-21,31.6,25.3,0.0
2024-05-22,29.3,20.1,0.0
2024-05-23,36.7,28.4,0.0
2024-05-24,26.6,14.9,0.0
2024-05-25,28.5,21.0,1.4
2024-05-26,31.3,22.3,1.6
2024-05-27,31.1,22.8,0.1
2024-05-28,32.2,22.5,0.0
2024-05-29,30.1,19.2,0.0
2024-05-30,33.7,22.9,0.0
2024-05-31,33.4,24.8,0.0
2024-06-01,33.6,26.5,5.3
2024-06-02,31.6,22.9,0.0
2024-06-03,34.3,27.9,0.0
2024-06-04,29.3,20.3,1.7
2024-06-05,36.0,26.9,0.0
2024-06-06,32.7,23.7,3.0
2024-06-07,33.5,25.8,0.0
2024-06-08,27.3,18.3,0.0
2024-06-09,27.5,20.6,0.0
2024-06-10,28.1,18.7,3.4
2024-06-11,36.3,27.6,0.0
2024-06-12,31.0,21.6,0.0
2024-06-13,29.6,18.4,0.0
2024-06-14,32.8,22.5,0.0
2024-06-15,24.9,15.6,13.6
2024-06-16,40.6,28.8,0.0
2024-06-17,37.5,28.4,0.0
2024-06-18,32.5,25.0,20.4
2024-06-19,32.1,21.7,4.6
2024-06-20,34.6,25.5,0.0
2024-06-21,34.3,26.6,2.2
2024-06-22,34.1,28.0,0.0
2024-06-23,32.9,23.3,2.8
2024-06-24,35.1,24.4,0.0
2024-06-25,34.0,25.9,2.8
2024-06-26,32.2,22.6,0.0
2024-06-27,31.7,21.1,0.0
2024-06-28,36.7,28.2,9.5
2024-06-29,33.8,24.0,0.0
2024-06-30,33.4,23.2,0.0
2024-07-01,31.3,22.7,1.0
2024-07-02,32.3,26.1,0.0
2024-07-03,33.2,25.0,0.9
2024-07-04,33.1,24.3,1.9
2024-07-05,34.8,23.7,15.7
2024-07-06,34.3,23.3,1.7
2024-07-07,33.6,26.8,0.0
2024-07-08,33.1,22.4,0.0
2024-07-09,33.4,26.5,0.0
2024-07-10,37.1,29.2,0.0
2024-07-11,33.7,26.3,0.0
2024-07-12,39.5,32.3,0.3
2024-07-13,37.3,27.4,0.0
2024-07-14,30.9,23.3,0.0
2024-07-15,30.9,21.1,0.0
2024-07-16,40.6,30.4,0.0
2024-07-17,30.9,23.8,2.4
2024-07-18,27.2,18.1,0.0
2024-07-19,37.2,28.6,5.4
2024-07-20,40.3,34.1,0.0
2024-07-21,33.1,21.9,6.6
2024-07-22,34.9,23.4,13.9
2024-07-23,32.6,25.1,0.0
2024-07-24,36.9,30.3,3.2
2024-07-25,37.1,26.6,0.0
2024-07-26,23.8,17.0,7.2
2024-07-27,35.3,27.9,3.1
2024-07-28,30.7,19.9,0.0
2024-07-29,37.0,27.6,7.7
2024-07-30,29.9,20.1,1.5
2024-07-31,34.5,23.7,0.0
2024-08-01,33.0,22.4,0.0
2024-08-02,31.3,21.3,0.0
2024-08-03,29.2,22.2,0.0
2024-08-04,29.2,22.8,0.0
2024-08-05,31.8,24.2,11.2
2024-08-06,31.2,22.4,0.0
2024-08-07,38.7,26.9,4.0
2024-08-08,32.5,22.9,0.0
2024-08-09,34.9,25.3,10.1
2024-08-10,29.8,21.2,0.0
2024-08-11,29.8,19.2,3.2
2024-08-12,30.3,21.2,0.0
2024-08-13,33.5,22.6,0.0
2024-08-14,30.9,23.0,0.0
2024-08-15,29.8,18.5,0.0
2024-08-16,33.3,23.8,12.1
2024-08-17,30.1,20.2,3.6
2024-08-18,30.2,19.4,14.3
2024-08-19,27.9,19.6,0.0
2024-08-20,30.1,23.0,0.0
2024-08-21,29.4,22.3,15.2
2024-08-22,28.6,21.1,12.0
2024-08-23,32.4,22.2,0.0
2024-08-24,30.2,21.1,0.0
2024-08-25,31.9,25.6,0.0
2024-08-26,34.8,24.5,0.0
2024-08-27,34.0,25.0,0.0
2024-08-28,25.3,14.2,0.5
2024-08-29,31.0,22.0,3.0
2024-08-30,28.1,19.8,0.0
2024-08-31,29.8,23.1,0.0
2024-09-01,33.1,25.0,0.0
2024-09-02,31.0,21.2,12.0
2024-09-03,29.4,22.4,0.0
2024-09-04,29.1,18.7,0.0
2024-09-05,29.6,21.4,0.0
2024-09-06,25.0,16.7,1.6
2024-09-07,28.8,21.2,8.6
2024-09-08,32.5,23.3,0.0
2024-09-09,26.6,15.9,0.0
2024-09-10,28.7,20.2,0.0
2024-09-11,32.1,22.5,0.0
2024-09-12,34.2,23.0,1.1
2024-09-13,21.8,15.2,0.0
2024-09-14,26.9,15.3,0.5
2024-09-15,24.9,18.9,0.0
2024-09-16,25.6,14.3,0.0
2024-09-17,31.4,20.6,0.0
2024-09-18,27.3,15.6,0.0
2024-09-19,26.9,16.2,0.0
2024-09-20,24.1,17.7,0.0
2024-09-21,30.5,22.3,0.0
2024-09-22,24.6,18.5,0.0
2024-09-23,25.5,17.9,2.2
2024-09-24,27.3,16.9,0.0
2024-09-25,24.8,15.6,2.2
2024-09-26,26.3,16.4,4.2
2024-09-27,25.0,13.2,0.0
2024-09-28,24.7,13.4,0.0
2024-09-29,21.3,14.4,0.0
2024-09-30,24.2,16.2,0.0
2024-10-01,32.0,22.7,0.0
2024-10-02,23.3,11.9,0.0
2024-10-03,22.8,11.8,0.0
2024-10-04,24.6,18.0,7.8
2024-10-05,24.1,16.5,0.0
2024-10-06,20.8,12.2,2.6
2024-10-07,21.6,12.0,14.8
2024-10-08,20.9,11.1,0.0
2024-10-09,22.9,11.2,0.0
2024-10-10,18.4,7.6,0.0
2024-10-11,23.7,16.6,0.0
2024-10-12,21.3,11.6,0.0
2024-10-13,22.5,11.6,0.0
2024-10-14,21.6,11.1,0.0
2024-10-15,22.0,10.8,0.0
2024-10-16,17.6,10.2,0.0
2024-10-17,23.9,12.8,0.0
2024-10-18,22.0,12.0,17.2
2024-10-19,17.9,10.1,0.0
2024-10-20,18.3,8.7,0.0
2024-10-21,13.6,2.1,0.0
2024-10-22,19.6,8.0,0.0
2024-10-23,19.4,12.1,2.7
2024-10-24,21.2,13.1,0.0
2024-10-25,9.6,2.1,0.0
2024-10-26,10.8,0.7,0.0
2024-10-27,22.2,13.9,0.0
2024-10-28,21.9,15.3,0.0
2024-10-29,19.5,11.7,0.0
2024-10-30,14.2,7.1,0.0
2024-10-31,18.1,9.7,0.0
2024-11-01,24.0,13.9,10.4
2024-11-02,18.7,11.8,0.0
2024-11-03,16.9,5.9,2.5
2024-11-04,16.1,8.9,0.0
2024-11-05,12.7,1.2,0.0
2024-11-06,18.2,8.6,0.0
2024-11-07,24.6,15.0,0.0
2024-11-08,14.9,7.1,0.0
2024-11-09,15.9,5.6,0.0
2024-11-10,18.4,11.4,0.0
2024-11-11,12.0,4.8,5.6
2024-11-12,18.2,8.7,0.0
2024-11-13,16.2,8.3,4.4
2024-11-14,12.1,0.6,0.1
2024-11-15,15.9,6.4,0.0
2024-11-16,21.0,13.8,0.0
2024-11-17,13.9,3.0,1.0
2024-11-18,10.8,2.3,0.0
2024-11-19,17.4,10.1,0.0
2024-11-20,12.1,5.3,0.0
2024-11-21,18.0,9.1,0.0
2024-11-22,13.6,3.9,0.0
2024-11-23,18.3,9.7,0.0
2024-11-24,13.8,4.7,0.0
2024-11-25,11.9,1.1,0.0
2024-11-26,14.8,5.6,7.5
2024-11-27,13.1,3.6,0.0
2024-11-28,10.2,2.8,0.0
2024-11-29,13.1,6.4,2.3
2024-11-30,9.7,2.8,0.0
2024-12-01,8.4,2.2,0.0
2024-12-02,13.5,6.5,0.0
2024-12-03,13.1,1.8,0.0
2024-12-04,17.5,8.6,4.8
2024-12-05,9.5,-0.7,0.0
2024-12-06,12.6,0.9,0.4
2024-12-07,9.4,-1.3,0.0
2024-12-08,14.9,8.2,0.0
2024-12-09,14.6,5.4,0.0
2024-12-10,13.0,3.2,0.0
2024-12-11,17.8,6.3,0.0
2024-12-12,16.0,4.6,9.2
2024-12-13,10.2,3.1,0.0
2024-12-14,13.6,5.5,0.0
2024-12-15,10.6,1.0,0.0
2024-12-16,11.7,5.0,0.0
2024-12-17,8.2,1.6,0.0
2024-12-18,11.1,2.8,0.0
2024-12-19,16.2,9.2,0.0
2024-12-20,8.9,2.6,0.0
2024-12-21,6.1,-1.4,0.0
2024-12-22,9.7,1.2,2.5
2024-12-23,10.6,1.9,0.0
2024-12-24,11.0,1.0,0.0
2024-12-25,8.7,0.8,9.1
2024-12-26,9.1,-1.4,0.0
2024-12-27,15.8,6.8,12.5
2024-12-28,12.3,2.4,0.0
2024-12-29,10.5,2.9,0.0
2024-12-30,9.2,2.2,0.0
