面积,房龄,地铁距离,楼层,房价
122.8,0,1.78,低层,210.5
146.2,12,2.31,中层,228.3
146.6,16,1.98,中层,231.6
49.0,3,2.03,高层,161.9
127.2,9,4.83,高层,238.1
152.4,11,1.72,高层,243.0
128.1,12,4.3,中层,228.6
47.2,24,4.13,高层,111.5
47.8,18,1.12,高层,127.5
77.1,29,2.36,低层,141.3
43.8,15,0.91,高层,134.0
158.2,0,2.28,低层,265.9
78.5,2,4.91,中层,197.5
115.9,29,4.32,中层,197.1
50.6,25,2.56,低层,119.9
127.8,24,4.86,高层,194.6
81.0,20,3.25,中层,165.1
137.3,5,2.35,低层,220.2
71.8,25,0.66,高层,141.1
47.4,1,0.89,中层,137.9
59.5,15,1.93,高层,169.4
45.7,23,1.14,高层,123.7
79.2,28,4.66,中层,137.4
155.2,27,2.16,高层,225.1
120.2,16,1.46,低层,192.3
119.1,5,3.07,低层,212.8
60.9,15,2.13,高层,154.3
40.2,6,0.62,高层,146.6
66.3,1,0.63,中层,173.0
63.6,29,2.27,中层,124.2
140.1,15,2.45,低层,219.5
153.2,11,1.61,中层,243.3
138.0,11,2.63,低层,238.0
145.4,11,2.22,中层,231.0
127.3,13,2.51,低层,230.9
57.0,1,0.27,高层,151.4
53.7,29,3.66,高层,114.6
142.5,10,3.72,低层,227.4
50.8,22,0.31,高层,123.0
157.6,25,0.41,高层,208.2
138.0,0,0.57,中层,231.9
78.4,5,3.39,低层,185.8
70.3,20,4.88,中层,159.2
86.0,8,4.37,低层,198.8
69.9,16,4.97,高层,166.3
157.4,27,1.67,中层,211.9
47.0,28,3.64,中层,99.0
79.5,26,2.77,高层,146.4
49.0,20,1.88,中层,127.3
61.8,25,0.62,中层,121.6
72.1,27,0.83,高层,142.0
50.6,3,4.99,中层,124.3
101.8,24,2.12,低层,162.0
76.8,12,3.28,低层,160.1
155.2,22,3.37,中层,223.4
73.8,21,3.69,低层,170.1
111.1,0,4.54,高层,227.9
93.1,23,2.3,高层,181.5
158.5,16,1.37,中层,225.7
141.9,4,3.27,低层,245.4
105.1,12,3.05,低层,206.6
48.4,24,2.57,中层,94.4
94.4,26,0.58,低层,159.9
98.0,4,4.51,低层,181.2
89.9,2,0.51,低层,178.7
70.3,23,3.26,低层,148.1
136.2,26,1.91,高层,208.6
85.6,18,4.73,中层,192.3
52.3,7,1.6,中层,160.1
154.2,29,0.53,高层,216.6
92.2,17,4.93,低层,173.8
145.1,23,4.32,中层,231.8
56.4,29,2.05,中层,127.1
130.8,13,1.66,高层,230.5
111.7,7,4.42,高层,215.6
44.7,20,3.87,高层,107.5
131.0,22,4.03,低层,223.8
43.0,13,2.58,高层,149.7
113.8,24,1.11,高层,194.7
48.6,27,0.28,低层,81.6
125.2,16,0.92,低层,206.2
57.6,21,2.25,高层,146.0
126.6,28,2.43,低层,207.8
46.1,11,4.91,中层,137.3
49.6,7,2.07,低层,150.1
66.6,10,3.78,中层,173.2
146.3,20,2.96,低层,224.2
135.4,1,2.03,中层,240.8
101.3,6,1.7,低层,196.6
151.1,0,3.4,高层,264.1
86.6,24,0.76,低层,144.1
102.8,27,2.29,中层,181.7
158.3,5,1.77,高层,253.2
90.6,20,2.98,中层,174.6
77.6,7,2.65,高层,185.2
76.4,20,4.99,中层,176.1
109.4,8,4.11,低层,217.8
103.7,24,2.31,低层,174.2
44.5,7,2.94,低层,145.7
136.4,26,2.36,中层,202.6
64.5,23,3.76,中层,140.8
75.6,25,0.61,高层,161.6
47.8,28,1.6,高层,113.4
101.3,9,0.92,低层,191.1
114.2,15,0.77,低层,200.8
135.5,28,1.81,高层,207.5
70.0,11,4.77,低层,166.0
107.0,3,4.14,中层,236.8
146.3,11,3.98,中层,248.1
143.3,11,2.88,低层,236.8
135.5,24,1.49,中层,212.9
110.2,21,1.76,高层,208.3
132.0,14,4.0,中层,231.1
65.8,28,3.17,低层,117.9
146.0,1,4.95,中层,253.0
75.4,16,4.82,低层,168.4
58.6,28,4.4,中层,107.6
79.8,22,1.42,低层,132.9
86.1,23,1.34,低层,153.1
78.0,28,1.09,高层,172.3
63.8,24,2.75,高层,126.6
104.1,16,0.21,高层,197.9
91.6,22,2.66,高层,181.5
75.1,6,2.66,中层,182.0
82.3,14,0.98,中层,167.1
149.7,1,2.6,高层,261.6
68.9,10,3.59,高层,163.5
131.3,29,0.66,低层,189.9
136.1,11,0.95,中层,227.8
61.4,7,0.83,低层,170.4
106.6,19,2.3,低层,202.2
95.5,24,2.36,中层,171.0
64.4,3,1.1,中层,164.2
68.3,19,2.64,中层,140.8
40.6,3,1.93,低层,124.9
139.6,11,3.56,中层,240.7
145.9,9,4.28,低层,244.7
140.9,9,1.66,低层,247.7
69.6,25,4.75,低层,143.6
115.7,7,3.78,中层,228.4
75.9,19,2.42,高层,169.9
40.4,26,4.45,中层,105.4
149.4,17,3.49,中层,232.0
66.5,2,1.74,中层,163.9
97.7,2,0.54,低层,209.5
63.3,26,4.15,高层,111.7
139.3,4,4.22,高层,241.8
109.8,19,0.68,中层,206.2
122.9,11,2.02,低层,220.7
115.6,7,3.56,低层,232.8
118.5,16,0.32,低层,193.7
108.4,20,1.55,中层,179.3
140.9,15,0.55,低层,220.1
