学号,时间,时段类型,小时,金额,日期
S1001,2024-03-02,晚餐,18.75,14.9,2024-03-02
S1131,2024-03-05,午餐,12.69,16.7,2024-03-05
S1215,2024-03-15,早餐,7.06,6.7,2024-03-15
S1068,2024-03-01,晚餐,18.96,16.1,2024-03-01
S1114,2024-03-18,超市,11.08,16.7,2024-03-18
S1160,2024-03-09,午餐,11.76,15.4,2024-03-09
S1275,2024-03-07,午餐,12.72,18.4,2024-03-07
S1090,2024-03-24,晚餐,18.01,16.4,2024-03-24
S1273,2024-03-20,午餐,12.25,16.6,2024-03-20
S1043,2024-03-10,晚餐,19.01,14.9,2024-03-10
S1018,2024-03-19,早餐,7.14,6.0,2024-03-19
S1048,2024-03-20,早餐,8.24,6.8,2024-03-20
S1138,2024-03-21,晚餐,18.91,18.2,2024-03-21
S1110,2024-03-13,晚餐,18.48,15.4,2024-03-13
S1160,2024-03-13,早餐,7.73,5.3,2024-03-13
S1040,2024-03-11,午餐,10.79,18.4,2024-03-11
S1264,2024-03-08,早餐,7.65,6.1,2024-03-08
S1075,2024-03-24,午餐,11.31,22.1,2024-03-24
S1072,2024-03-27,早餐,6.37,3.1,2024-03-27
S1019,2024-03-04,晚餐,17.36,9.9,2024-03-04
S1224,2024-03-10,早餐,6.79,5.9,2024-03-10
S1084,2024-03-04,早餐,7.91,6.5,2024-03-04
S1038,2024-03-31,午餐,11.66,16.6,2024-03-31
S1034,2024-03-08,晚餐,17.65,14.8,2024-03-08
S1119,2024-03-05,午餐,12.38,16.2,2024-03-05
S1287,2024-03-30,午餐,12.73,17.5,2024-03-30
S1244,2024-03-19,晚餐,17.72,11.7,2024-03-19
S1118,2024-03-22,午餐,11.7,18.6,2024-03-22
S1132,2024-03-20,早餐,7.19,4.5,2024-03-20
S1141,2024-03-03,早餐,7.42,1.9,2024-03-03
S1185,2024-03-30,早餐,7.2,8.9,2024-03-30
S1252,2024-03-02,超市,12.84,15.5,2024-03-02
S1090,2024-03-14,晚餐,17.76,3.6,2024-03-14
S1118,2024-03-27,早餐,7.93,5.7,2024-03-27
S1148,2024-03-29,早餐,7.32,7.2,2024-03-29
S1145,2024-03-04,午餐,11.35,8.8,2024-03-04
S1132,2024-03-27,午餐,12.03,14.1,2024-03-27
S1149,2024-03-22,超市,9.27,3.3,2024-03-22
S1006,2024-03-05,早餐,7.34,5.7,2024-03-05
S1241,2024-03-11,午餐,12.44,13.9,2024-03-11
S1065,2024-03-29,晚餐,18.01,16.3,2024-03-29
S1167,2024-03-10,早餐,7.39,5.6,2024-03-10
S1100,2024-03-14,早餐,7.05,7.4,2024-03-14
S1261,2024-03-30,超市,18.51,1.1,2024-03-30
S1293,2024-03-03,早餐,7.74,7.1,2024-03-03
S1091,2024-03-03,午餐,12.48,21.9,2024-03-03
S1093,2024-03-11,超市,15.46,5.7,2024-03-11
S1252,2024-03-09,午餐,12.22,11.0,2024-03-09
S1178,2024-03-31,早餐,7.76,2.5,2024-03-31
S1125,2024-03-01,早餐,7.74,6.4,2024-03-01
S1111,2024-03-03,午餐,12.37,9.0,2024-03-03
S1215,2024-03-23,晚餐,17.0,9.8,2024-03-23
S1010,2024-03-23,早餐,7.51,6.9,2024-03-23
S1064,2024-03-24,晚餐,17.74,12.6,2024-03-24
S1208,2024-03-31,午餐,11.67,14.0,2024-03-31
S1215,2024-03-08,午餐,12.37,14.4,2024-03-08
S1043,2024-03-28,午餐,12.14,13.2,2024-03-28
S1140,2024-03-21,晚餐,17.74,13.4,2024-03-21
S1034,2024-03-30,超市,9.13,1.9,2024-03-30
S1132,2024-03-09,午餐,10.29,15.1,2024-03-09
S1236,2024-03-16,早餐,7.11,3.2,2024-03-16
S1156,2024-03-30,午餐,12.4,15.0,2024-03-30
S1017,2024-03-16,午餐,11.23,23.6,2024-03-16
S1241,2024-03-08,午餐,12.28,11.6,2024-03-08
S1172,2024-03-20,超市,9.7,15.3,2024-03-20
S1225,2024-03-27,午餐,12.42,19.7,2024-03-27
S1035,2024-03-19,午餐,12.47,14.3,2024-03-19
S1254,2024-03-28,早餐,7.66,5.6,2024-03-28
S1147,2024-03-09,午餐,12.22,16.8,2024-03-09
S1176,2024-03-21,超市,12.96,21.1,2024-03-21
S1107,2024-03-26,午餐,11.45,11.0,2024-03-26
S1015,2024-03-12,午餐,12.33,13.5,2024-03-12
S1032,2024-03-01,午餐,11.94,14.9,2024-03-01
S1152,2024-03-11,晚餐,18.09,10.6,2024-03-11
S1043,2024-03-21,午餐,11.34,13.4,2024-03-21
S1275,2024-03-31,超市,13.68,7.3,2024-03-31
S1215,2024-03-22,超市,9.74,23.3,2024-03-22
S1073,2024-03-01,早餐,8.4,6.8,2024-03-01
S1263,2024-03-04,超市,13.66,28.0,2024-03-04
S1141,2024-03-13,晚餐,18.37,14.9,2024-03-13
S1076,2024-03-14,早餐,7.48,6.3,2024-03-14
S1125,2024-03-05,午餐,12.59,11.1,2024-03-05
S1114,2024-03-21,午餐,12.25,11.9,2024-03-21
S1185,2024-03-11,午餐,11.73,12.0,2024-03-11
S1042,2024-03-09,早餐,7.87,9.0,2024-03-09
S1042,2024-03-06,午餐,12.3,13.6,2024-03-06
S1017,2024-03-14,午餐,12.08,18.9,2024-03-14
S1118,2024-03-17,晚餐,18.51,12.1,2024-03-17
S1213,2024-03-08,早餐,7.06,5.5,2024-03-08
S1299,2024-03-26,早餐,7.92,3.1,2024-03-26
S1222,2024-03-01,早餐,7.02,8.0,2024-03-01
S1241,2024-03-17,超市,13.58,52.6,2024-03-17
S1209,2024-03-13,晚餐,17.91,11.3,2024-03-13
S1091,2024-03-23,早餐,7.4,7.2,2024-03-23
S1166,2024-03-03,午餐,11.65,19.8,2024-03-03
S1252,2024-03-14,午餐,12.81,18.3,2024-03-14
S1246,2024-03-12,超市,18.41,2.9,2024-03-12
S1286,2024-03-24,午餐,12.12,11.8,2024-03-24
S1120,2024-03-02,午餐,12.32,10.5,2024-03-02
S1114,2024-03-15,晚餐,18.68,13.9,2024-03-15
S1047,2024-03-05,午餐,12.08,18.7,2024-03-05
S1059,2024-03-03,晚餐,18.5,22.8,2024-03-03
S1227,2024-03-09,午餐,12.8,20.4,2024-03-09
S1084,2024-03-18,午餐,12.26,10.2,2024-03-18
S1283,2024-03-10,晚餐,18.46,9.1,2024-03-10
S1260,2024-03-30,午餐,11.16,15.5,2024-03-30
S1005,2024-03-17,午餐,11.89,17.0,2024-03-17
S1193,2024-03-12,早餐,7.29,7.0,2024-03-12
S1108,2024-03-14,午餐,12.23,16.5,2024-03-14
S1249,2024-03-28,午餐,11.76,10.8,2024-03-28
S1248,2024-03-10,超市,10.47,24.0,2024-03-10
S1245,2024-03-28,午餐,12.57,9.4,2024-03-28
S1226,2024-03-29,早餐,7.98,9.8,2024-03-29
S1000,2024-03-08,早餐,8.81,7.1,2024-03-08
S1263,2024-03-28,晚餐,18.28,11.3,2024-03-28
S1193,2024-03-24,午餐,12.29,15.6,2024-03-24
S1176,2024-03-23,晚餐,18.04,10.6,2024-03-23
S1127,2024-03-18,午餐,11.57,20.6,2024-03-18
S1206,2024-03-28,超市,15.8,45.4,2024-03-28
S1177,2024-03-05,午餐,12.39,4.6,2024-03-05
S1194,2024-03-08,午餐,12.2,16.3,2024-03-08
S1066,2024-03-10,早餐,7.37,9.2,2024-03-10
S1122,2024-03-31,午餐,11.84,19.7,2024-03-31
S1246,2024-03-16,早餐,7.66,8.6,2024-03-16
S1035,2024-03-20,晚餐,17.28,15.0,2024-03-20
S1289,2024-03-20,午餐,11.78,8.9,2024-03-20
S1138,2024-03-13,午餐,11.77,13.1,2024-03-13
S1043,2024-03-22,午餐,12.56,15.3,2024-03-22
S1048,2024-03-09,午餐,11.61,11.0,2024-03-09
S1256,2024-03-20,午餐,12.16,18.3,2024-03-20
S1289,2024-03-22,午餐,11.52,13.8,2024-03-22
S1120,2024-03-31,午餐,11.12,13.1,2024-03-31
S1024,2024-03-23,午餐,11.74,12.7,2024-03-23
S1157,2024-03-24,早餐,7.43,2.5,2024-03-24
S1045,2024-03-23,超市,17.04,55.4,2024-03-23
S1078,2024-03-23,午餐,11.27,13.3,2024-03-23
S1193,2024-03-07,午餐,11.41,21.4,2024-03-07
S1265,2024-03-15,晚餐,17.47,13.8,2024-03-15
S1231,2024-03-11,午餐,11.52,17.2,2024-03-11
S1261,2024-03-11,晚餐,17.62,11.4,2024-03-11
S1176,2024-03-17,早餐,6.81,5.7,2024-03-17
S1233,2024-03-08,早餐,8.0,5.8,2024-03-08
S1063,2024-03-15,超市,15.65,23.9,2024-03-15
S1058,2024-03-07,早餐,7.14,9.4,2024-03-07
S1163,2024-03-10,午餐,11.96,16.8,2024-03-10
S1013,2024-03-19,午餐,12.05,10.8,2024-03-19
S1078,2024-03-09,午餐,11.4,12.9,2024-03-09
S1097,2024-03-27,超市,11.73,0.5,2024-03-27
S1036,2024-03-23,超市,19.26,9.6,2024-03-23
S1051,2024-03-24,晚餐,17.71,14.9,2024-03-24
S1279,2024-03-18,超市,20.13,9.1,2024-03-18
S1043,2024-03-10,超市,9.38,3.5,2024-03-10
S1248,2024-03-10,早餐,7.75,6.7,2024-03-10
S1154,2024-03-29,午餐,12.11,13.1,2024-03-29
S1030,2024-03-09,午餐,12.39,9.7,2024-03-09
S1235,2024-03-13,早餐,7.82,7.6,2024-03-13
S1235,2024-03-22,早餐,7.82,4.2,2024-03-22
S1003,2024-03-11,早餐,7.12,4.7,2024-03-11
S1046,2024-03-23,晚餐,17.87,18.0,2024-03-23
S1208,2024-03-20,午餐,11.53,15.2,2024-03-20
S1227,2024-03-16,晚餐,18.44,10.2,2024-03-16
S1233,2024-03-21,晚餐,17.93,8.6,2024-03-21
S1257,2024-03-21,早餐,7.6,7.2,2024-03-21
S1116,2024-03-12,晚餐,17.81,17.7,2024-03-12
S1154,2024-03-29,早餐,7.62,5.4,2024-03-29
S1261,2024-03-04,超市,16.51,81.4,2024-03-04
S1161,2024-03-28,早餐,7.03,6.3,2024-03-28
S1238,2024-03-29,早餐,7.55,6.4,2024-03-29
S1127,2024-03-22,晚餐,17.32,19.4,2024-03-22
S1029,2024-03-18,午餐,11.8,16.4,2024-03-18
S1226,2024-03-21,午餐,11.66,19.4,2024-03-21
S1132,2024-03-28,早餐,6.75,5.2,2024-03-28
S1151,2024-03-15,午餐,11.9,17.1,2024-03-15
S1205,2024-03-12,午餐,12.08,15.7,2024-03-12
S1116,2024-03-07,超市,20.25,29.1,2024-03-07
S1015,2024-03-11,早餐,7.8,4.2,2024-03-11
S1225,2024-03-23,午餐,11.98,13.5,2024-03-23
S1186,2024-03-02,晚餐,17.49,8.5,2024-03-02
S1069,2024-03-13,午餐,12.03,17.3,2024-03-13
S1235,2024-03-24,午餐,11.96,21.8,2024-03-24
S1168,2024-03-19,晚餐,18.5,12.0,2024-03-19
S1234,2024-03-06,午餐,11.31,10.2,2024-03-06
S1022,2024-03-05,午餐,11.39,3.0,2024-03-05
S1164,2024-03-05,早餐,7.53,8.0,2024-03-05
S1187,2024-03-29,晚餐,18.61,14.4,2024-03-29
S1050,2024-03-05,午餐,12.3,15.2,2024-03-05
S1107,2024-03-25,晚餐,18.69,11.1,2024-03-25
S1224,2024-03-11,午餐,11.67,11.4,2024-03-11
S1089,2024-03-18,午餐,11.38,10.7,2024-03-18
S1157,2024-03-05,早餐,7.17,5.4,2024-03-05
S1281,2024-03-16,早餐,6.99,3.7,2024-03-16
S1197,2024-03-21,超市,14.4,4.7,2024-03-21
S1051,2024-03-15,午餐,12.2,20.6,2024-03-15
S1182,2024-03-12,午餐,11.42,17.2,2024-03-12
S1273,2024-03-10,午餐,11.65,12.8,2024-03-10
S1237,2024-03-11,早餐,7.93,4.7,2024-03-11
S1228,2024-03-02,午餐,12.16,18.3,2024-03-02
S1258,2024-03-14,午餐,11.32,8.5,2024-03-14
S1008,2024-03-26,早餐,7.09,6.7,2024-03-26
S1176,2024-03-14,晚餐,18.3,18.8,2024-03-14
S1182,2024-03-23,晚餐,17.67,18.0,2024-03-23
S1241,2024-03-13,早餐,7.19,8.8,2024-03-13
S1103,2024-03-25,超市,14.78,97.8,2024-03-25
S1265,2024-03-31,午餐,11.89,17.4,2024-03-31
S1212,2024-03-05,午餐,11.77,10.3,2024-03-05
S1292,2024-03-11,超市,10.37,8.0,2024-03-11
S1059,2024-03-03,晚餐,18.07,13.4,2024-03-03
S1211,2024-03-04,晚餐,17.98,13.6,2024-03-04
S1232,2024-03-09,早餐,7.73,7.9,2024-03-09
S1126,2024-03-24,早餐,6.27,4.9,2024-03-24
S1157,2024-03-07,晚餐,18.18,15.3,2024-03-07
S1075,2024-03-17,晚餐,18.22,17.1,2024-03-17
S1244,2024-03-03,早餐,7.6,4.8,2024-03-03
S1186,2024-03-09,晚餐,18.51,20.2,2024-03-09
S1159,2024-03-04,午餐,12.0,14.7,2024-03-04
S1058,2024-03-08,晚餐,18.03,22.1,2024-03-08
S1082,2024-03-06,晚餐,18.36,18.0,2024-03-06
S1258,2024-03-27,早餐,7.8,9.2,2024-03-27
S1290,2024-03-21,超市,10.8,7.1,2024-03-21
S1245,2024-03-15,午餐,12.44,14.2,2024-03-15
S1065,2024-03-21,晚餐,16.82,8.2,2024-03-21
S1028,2024-03-18,午餐,11.46,16.2,2024-03-18
S1052,2024-03-23,超市,14.47,2.2,2024-03-23
S1228,2024-03-17,晚餐,17.58,16.5,2024-03-17
S1190,2024-03-29,晚餐,17.56,10.9,2024-03-29
S1077,2024-03-25,早餐,7.55,9.2,2024-03-25
S1102,2024-03-02,晚餐,17.95,12.8,2024-03-02
S1112,2024-03-21,早餐,7.35,3.6,2024-03-21
S1189,2024-03-04,午餐,11.88,15.8,2024-03-04
S1192,2024-03-27,超市,13.58,11.6,2024-03-27
S1181,2024-03-07,午餐,11.19,15.2,2024-03-07
S1170,2024-03-17,午餐,12.48,21.9,2024-03-17
S1062,2024-03-04,早餐,7.97,7.7,2024-03-04
S1012,2024-03-28,午餐,12.29,13.1,2024-03-28
S1290,2024-03-29,早餐,7.27,2.7,2024-03-29
S1267,2024-03-25,晚餐,17.67,14.3,2024-03-25
S1211,2024-03-09,午餐,11.83,9.3,2024-03-09
S1172,2024-03-25,午餐,12.57,12.2,2024-03-25
S1154,2024-03-14,晚餐,18.56,25.3,2024-03-14
S1145,2024-03-17,早餐,7.42,6.2,2024-03-17
S1032,2024-03-09,午餐,11.95,8.8,2024-03-09
S1111,2024-03-07,午餐,11.61,17.6,2024-03-07
S1147,2024-03-24,晚餐,17.21,12.3,2024-03-24
S1284,2024-03-05,早餐,7.94,4.7,2024-03-05
S1216,2024-03-23,晚餐,17.67,11.8,2024-03-23
S1225,2024-03-06,早餐,7.82,3.9,2024-03-06
S1196,2024-03-30,早餐,7.68,6.8,2024-03-30
S1134,2024-03-21,晚餐,17.67,20.2,2024-03-21
S1246,2024-03-21,晚餐,18.54,11.7,2024-03-21
S1085,2024-03-04,晚餐,18.11,12.0,2024-03-04
S1041,2024-03-15,超市,9.85,18.1,2024-03-15
S1068,2024-03-09,午餐,11.68,14.2,2024-03-09
S1055,2024-03-05,午餐,12.41,22.6,2024-03-05
S1233,2024-03-27,晚餐,18.11,2.6,2024-03-27
S1101,2024-03-19,晚餐,18.63,11.7,2024-03-19
S1058,2024-03-18,午餐,11.91,19.8,2024-03-18
S1216,2024-03-04,早餐,7.59,7.7,2024-03-04
S1213,2024-03-31,晚餐,17.53,11.5,2024-03-31
S1238,2024-03-19,午餐,12.8,16.4,2024-03-19
S1241,2024-03-15,午餐,11.14,16.5,2024-03-15
S1209,2024-03-06,午餐,12.3,8.0,2024-03-06
S1238,2024-03-11,晚餐,18.29,16.7,2024-03-11
S1017,2024-03-24,晚餐,17.96,7.6,2024-03-24
S1156,2024-03-07,早餐,7.68,6.0,2024-03-07
S1231,2024-03-13,午餐,12.04,10.8,2024-03-13
S1012,2024-03-27,午餐,12.21,11.3,2024-03-27
S1235,2024-03-30,早餐,6.99,6.3,2024-03-30
S1008,2024-03-02,午餐,12.04,10.2,2024-03-02
S1059,2024-03-25,午餐,12.82,10.9,2024-03-25
S1133,2024-03-02,晚餐,18.04,17.3,2024-03-02
S1251,2024-03-23,晚餐,17.92,11.1,2024-03-23
S1267,2024-03-26,超市,12.98,31.8,2024-03-26
S1106,2024-03-29,早餐,7.61,6.1,2024-03-29
S1281,2024-03-01,午餐,11.94,12.1,2024-03-01
S1175,2024-03-26,超市,18.58,1.3,2024-03-26
S1209,2024-03-17,晚餐,18.6,14.6,2024-03-17
S1031,2024-03-26,早餐,8.12,6.1,2024-03-26
S1094,2024-03-15,早餐,7.42,3.8,2024-03-15
S1186,2024-03-27,早餐,8.04,6.6,2024-03-27
S1072,2024-03-15,早餐,7.59,4.5,2024-03-15
S1098,2024-03-02,午餐,11.34,14.9,2024-03-02
S1112,2024-03-18,晚餐,17.99,17.6,2024-03-18
S1013,2024-03-28,早餐,8.13,5.6,2024-03-28
S1231,2024-03-23,超市,14.65,0.5,2024-03-23
S1014,2024-03-12,晚餐,17.71,7.0,2024-03-12
S1277,2024-03-08,超市,10.02,31.5,2024-03-08
S1008,2024-03-28,晚餐,18.31,15.1,2024-03-28
S1244,2024-03-21,午餐,11.49,19.8,2024-03-21
S1034,2024-03-14,晚餐,17.89,16.9,2024-03-14
S1287,2024-03-18,午餐,11.72,12.9,2024-03-18
S1005,2024-03-03,早餐,6.38,7.3,2024-03-03
S1228,2024-03-29,晚餐,18.15,15.1,2024-03-29
S1108,2024-03-01,超市,17.45,34.1,2024-03-01
S1005,2024-03-05,早餐,6.99,9.0,2024-03-05
S1119,2024-03-05,午餐,11.75,10.4,2024-03-05
S1141,2024-03-26,午餐,11.71,14.5,2024-03-26
S1037,2024-03-04,晚餐,17.84,15.8,2024-03-04
S1200,2024-03-10,午餐,11.74,9.8,2024-03-10
S1125,2024-03-19,午餐,12.29,12.8,2024-03-19
S1105,2024-03-24,早餐,6.58,5.4,2024-03-24
S1222,2024-03-21,晚餐,18.21,15.3,2024-03-21
S1116,2024-03-06,早餐,7.68,8.2,2024-03-06
S1058,2024-03-23,午餐,11.2,17.6,2024-03-23
S1182,2024-03-25,晚餐,18.39,8.8,2024-03-25
S1175,2024-03-23,晚餐,18.05,12.5,2024-03-23
S1248,2024-03-28,午餐,11.88,15.7,2024-03-28
S1030,2024-03-17,早餐,8.18,6.5,2024-03-17
S1206,2024-03-27,午餐,12.08,17.6,2024-03-27
S1229,2024-03-19,超市,14.65,0.5,2024-03-19
S1237,2024-03-27,早餐,7.14,7.7,2024-03-27
S1266,2024-03-01,早餐,7.95,2.3,2024-03-01
S1276,2024-03-31,早餐,7.24,4.4,2024-03-31
S1013,2024-03-24,超市,15.05,6.2,2024-03-24
S1003,2024-03-19,超市,20.36,1.3,2024-03-19
S1266,2024-03-27,晚餐,18.02,9.3,2024-03-27
S1154,2024-03-25,超市,14.26,7.4,2024-03-25
S1199,2024-03-17,午餐,12.5,17.5,2024-03-17
S1019,2024-03-13,晚餐,18.08,7.2,2024-03-13
S1132,2024-03-21,晚餐,17.94,18.9,2024-03-21
S1194,2024-03-16,超市,12.23,0.9,2024-03-16
S1112,2024-03-26,午餐,11.9,22.3,2024-03-26
S1156,2024-03-22,午餐,12.19,8.8,2024-03-22
S1068,2024-03-30,早餐,8.27,4.9,2024-03-30
S1204,2024-03-11,早餐,7.03,5.6,2024-03-11
S1067,2024-03-15,早餐,7.45,6.4,2024-03-15
S1114,2024-03-26,晚餐,18.13,9.8,2024-03-26
S1100,2024-03-22,早餐,7.87,4.6,2024-03-22
S1294,2024-03-21,午餐,11.78,9.2,2024-03-21
S1173,2024-03-15,早餐,6.99,3.5,2024-03-15
S1225,2024-03-11,晚餐,18.09,16.9,2024-03-11
S1195,2024-03-18,晚餐,18.18,11.1,2024-03-18
S1007,2024-03-24,超市,10.91,9.8,2024-03-24
S1113,2024-03-28,超市,16.54,4.4,2024-03-28
S1016,2024-03-24,午餐,11.92,17.2,2024-03-24
S1136,2024-03-24,午餐,12.01,10.7,2024-03-24
S1130,2024-03-29,超市,16.21,5.0,2024-03-29
S1161,2024-03-28,午餐,10.96,14.7,2024-03-28
S1166,2024-03-04,早餐,7.55,4.0,2024-03-04
S1071,2024-03-28,早餐,7.63,4.7,2024-03-28
S1156,2024-03-22,晚餐,18.85,16.8,2024-03-22
S1142,2024-03-14,晚餐,18.12,13.5,2024-03-14
S1213,2024-03-01,午餐,11.44,15.7,2024-03-01
S1291,2024-03-22,午餐,12.51,18.5,2024-03-22
S1269,2024-03-06,晚餐,18.02,14.8,2024-03-06
S1099,2024-03-10,晚餐,18.05,20.8,2024-03-10
S1103,2024-03-23,早餐,7.68,3.4,2024-03-23
S1229,2024-03-10,早餐,7.5,7.7,2024-03-10
S1116,2024-03-27,晚餐,18.04,12.9,2024-03-27
S1029,2024-03-15,早餐,7.65,5.5,2024-03-15
S1285,2024-03-19,午餐,12.33,16.3,2024-03-19
S1163,2024-03-24,晚餐,17.57,22.3,2024-03-24
S1132,2024-03-01,早餐,7.81,7.5,2024-03-01
S1270,2024-03-15,早餐,7.23,1.1,2024-03-15
S1262,2024-03-28,晚餐,18.08,14.8,2024-03-28
S1132,2024-03-26,晚餐,18.0,11.2,2024-03-26
S1228,2024-03-20,早餐,7.25,7.2,2024-03-20
S1009,2024-03-20,晚餐,18.08,15.2,2024-03-20
S1203,2024-03-30,晚餐,17.57,5.2,2024-03-30
S1280,2024-03-02,早餐,6.91,7.1,2024-03-02
S1059,2024-03-01,晚餐,17.68,15.2,2024-03-01
S1000,2024-03-04,午餐,12.11,8.9,2024-03-04
S1085,2024-03-25,早餐,7.69,9.5,2024-03-25
S1194,2024-03-14,晚餐,17.71,14.4,2024-03-14
S1162,2024-03-18,晚餐,16.87,11.1,2024-03-18
S1139,2024-03-26,早餐,7.19,9.4,2024-03-26
S1112,2024-03-04,早餐,8.85,4.7,2024-03-04
S1151,2024-03-13,午餐,12.56,14.7,2024-03-13
S1174,2024-03-25,早餐,6.89,5.4,2024-03-25
S1044,2024-03-01,早餐,7.25,3.5,2024-03-01
S1047,2024-03-15,超市,12.2,7.4,2024-03-15
S1296,2024-03-26,超市,18.86,5.8,2024-03-26
S1219,2024-03-26,午餐,12.39,5.4,2024-03-26
S1086,2024-03-06,早餐,6.92,3.9,2024-03-06
S1052,2024-03-06,午餐,11.06,15.0,2024-03-06
S1167,2024-03-02,午餐,11.43,21.1,2024-03-02
S1048,2024-03-05,早餐,7.73,8.8,2024-03-05
S1146,2024-03-18,午餐,12.16,11.5,2024-03-18
S1204,2024-03-06,早餐,7.29,3.8,2024-03-06
S1230,2024-03-01,午餐,11.96,10.0,2024-03-01
S1283,2024-03-30,午餐,11.76,13.0,2024-03-30
S1008,2024-03-05,晚餐,18.14,11.7,2024-03-05
S1053,2024-03-02,早餐,6.93,5.8,2024-03-02
S1106,2024-03-14,超市,20.8,14.6,2024-03-14
S1254,2024-03-21,超市,18.97,1.4,2024-03-21
S1279,2024-03-19,午餐,11.95,5.9,2024-03-19
S1147,2024-03-30,超市,14.1,13.4,2024-03-30
S1251,2024-03-19,午餐,11.82,14.8,2024-03-19
S1225,2024-03-18,早餐,7.8,8.9,2024-03-18
S1053,2024-03-04,晚餐,18.87,15.3,2024-03-04
S1206,2024-03-06,早餐,7.24,6.5,2024-03-06
S1175,2024-03-10,晚餐,17.43,13.8,2024-03-10
S1058,2024-03-10,午餐,11.94,15.8,2024-03-10
S1013,2024-03-12,午餐,12.41,18.7,2024-03-12
S1136,2024-03-01,晚餐,18.82,9.9,2024-03-01
S1019,2024-03-19,晚餐,16.91,5.8,2024-03-19
S1054,2024-03-17,早餐,7.44,6.9,2024-03-17
S1199,2024-03-26,早餐,7.52,7.5,2024-03-26
S1054,2024-03-11,超市,14.11,7.4,2024-03-11
S1130,2024-03-12,早餐,7.88,5.1,2024-03-12
S1122,2024-03-31,早餐,7.35,9.5,2024-03-31
S1211,2024-03-13,晚餐,17.82,13.8,2024-03-13
S1218,2024-03-26,早餐,7.15,7.6,2024-03-26
S1042,2024-03-31,午餐,11.65,22.1,2024-03-31
S1198,2024-03-25,早餐,7.08,6.6,2024-03-25
S1170,2024-03-05,超市,10.0,10.4,2024-03-05
S1115,2024-03-20,晚餐,18.22,16.9,2024-03-20
S1267,2024-03-23,午餐,12.18,19.1,2024-03-23
S1252,2024-03-24,午餐,13.03,6.8,2024-03-24
S1043,2024-03-09,午餐,13.09,11.2,2024-03-09
S1165,2024-03-11,晚餐,17.57,21.9,2024-03-11
S1010,2024-03-31,午餐,12.26,20.7,2024-03-31
S1285,2024-03-28,晚餐,18.33,14.4,2024-03-28
S1290,2024-03-20,超市,10.2,15.4,2024-03-20
S1055,2024-03-04,晚餐,17.32,11.6,2024-03-04
S1248,2024-03-23,午餐,11.64,12.0,2024-03-23
S1184,2024-03-10,早餐,7.53,4.4,2024-03-10
S1077,2024-03-26,晚餐,18.72,14.7,2024-03-26
S1287,2024-03-28,晚餐,17.07,15.4,2024-03-28
S1211,2024-03-19,超市,11.51,2.6,2024-03-19
S1111,2024-03-31,早餐,8.29,2.6,2024-03-31
